method,pair,window_start,window_end,entry_time,exit_time,side,beta,w_a,w_b,qty_a,qty_b,entry_price_a,entry_price_b,exit_price_a,exit_price_b,fee,pnl,pnl_pct,capital_per_leg,bars_held
SDR,SOL_USDT_USDT-TRX_USDT_USDT,2025-01-15 18:50:00+00:00,2025-01-16 11:30:00+00:00,2025-01-16 03:10:00+00:00,2025-01-16 11:30:00+00:00,shortA_longB,10.0,0.333824202651072,0.6661757973489281,3.1466100557679364,269.3914112137861,202.110209,0.23607360500000002,213.151313,0.24016401399999998,0.43048812154626037,-34.07061594177426,-3.4070615941774256,1000.0,100
SDR,TAO_USDT_USDT-XLM_USDT_USDT,2025-01-15 23:15:00+00:00,2025-01-16 15:55:00+00:00,2025-01-16 14:40:00+00:00,2025-01-16 15:55:00+00:00,longA_shortB,10.0,0.5412335916568762,0.4587664083431239,1.0567735868886774,95.92938340075673,441.214117,0.4860486,447.06470199999995,0.484398435,0.3095411938207532,6.0315018129858124,0.6031501812985812,1000.0,15
SDR,AAVE_USDT_USDT-DOT_USDT_USDT,2025-01-16 09:10:00+00:00,2025-01-17 01:50:00+00:00,2025-01-16 17:30:00+00:00,2025-01-17 01:50:00+00:00,shortA_longB,10.0,0.47406764942398255,0.5259323505760174,1.6314965602864147,7.123636703361021,319.471944,7.3167316,326.56265299999995,7.390739,0.34763217006338487,-11.388897682594898,-1.1388897682594898,1000.0,100
SDR,AAVE_USDT_USDT-TAO_USDT_USDT,2025-01-16 18:20:00+00:00,2025-01-17 11:00:00+00:00,2025-01-17 02:40:00+00:00,2025-01-17 11:00:00+00:00,longA_shortB,0.817621236871165,0.5419176919828456,0.4580823080171545,1.5425149139689218,1.2979678814666853,326.872684,475.107506,324.662463,474.137409,0.6711276277614023,-2.821271735521491,-0.2821271735521491,1000.0,100
SDR,SUI_USDT_USDT-XLM_USDT_USDT,2025-01-17 20:20:00+00:00,2025-01-18 13:00:00+00:00,2025-01-18 05:25:00+00:00,2025-01-18 13:00:00+00:00,longA_shortB,7.860996706103002,0.5697492312586098,0.4302507687413903,94.65924100145395,121.44229532497843,4.71157111,0.46717671299999997,5.05060501,0.476767672,0.3116144864445731,30.616329085990465,3.0616329085990466,1000.0,91
SDR,HBAR_USDT_USDT-TAO_USDT_USDT,2025-01-18 07:00:00+00:00,2025-01-18 23:40:00+00:00,2025-01-18 15:20:00+00:00,2025-01-18 23:40:00+00:00,longA_shortB,0.1,0.488755328826377,0.5112446711736229,1379.6759612605183,10.744641139824983,0.35573557,456.78567400000003,0.352095206,441.084104,3.1871596983575707,160.49805258244606,16.049805258244607,1000.0,100
SDR,ADA_USDT_USDT-NEAR_USDT_USDT,2025-01-18 22:00:00+00:00,2025-01-19 14:40:00+00:00,2025-01-19 12:45:00+00:00,2025-01-19 14:40:00+00:00,longA_shortB,0.13091634498875196,0.5247321524206268,0.47526784757937335,486.3675771554959,736.6686212134381,1.0671066999999999,5.3815381,0.9920992,4.970497,2.588265122495225,263.7315992330691,26.37315992330691,1000.0,23
SDR,DOT_USDT_USDT-ONDO_USDT_USDT,2025-01-19 10:05:00+00:00,2025-01-20 02:45:00+00:00,2025-01-19 18:25:00+00:00,2025-01-20 02:45:00+00:00,shortA_longB,3.4918138806590644,0.4981934104099682,0.501806589590032,78.92738338952962,107.87632189239712,6.3476347,1.33003299,6.6456645,1.41704169,0.39656142596862065,-14.533095183434389,-1.4533095183434388,1000.0,100
SDR,LTC_USDT_USDT-UNI_USDT_USDT,2025-01-19 20:00:00+00:00,2025-01-20 12:40:00+00:00,2025-01-20 10:35:00+00:00,2025-01-20 12:40:00+00:00,shortA_longB,6.125366038425906,0.461261092300793,0.538738907699207,4.34163531873577,6.3321823270372795,121.582157,13.609360800000001,120.322031,13.7553754,0.36706147959617247,6.02853713767047,0.602853713767047,1000.0,25
SDR,DOGE_USDT_USDT-HBAR_USDT_USDT,2025-01-20 12:40:00+00:00,2025-01-21 05:20:00+00:00,2025-01-21 00:15:00+00:00,2025-01-21 05:20:00+00:00,longA_shortB,1.0577761507579857,0.5345843767169984,0.46541562328300157,1451.2377542832915,1410.1537814388107,0.343864383,0.334553452,0.370117008,0.33538353499999995,0.5942612778056021,36.33399458987779,3.6333994589877787,1000.0,61
SDR,DOT_USDT_USDT-LINK_USDT_USDT,2025-01-21 19:40:00+00:00,2025-01-22 12:20:00+00:00,2025-01-22 04:00:00+00:00,2025-01-22 12:20:00+00:00,shortA_longB,0.1279541487410441,0.4765653601284837,0.5234346398715163,72.57628973073776,145.48842644996563,6.6396639,25.8855883,6.5516551000000005,25.4865484,2.5294284964590346,-54.19776347055587,-5.419776347055587,1000.0,100
SDR,ETC_USDT_USDT-TON_USDT_USDT,2025-01-22 11:00:00+00:00,2025-01-23 03:40:00+00:00,2025-01-22 19:20:00+00:00,2025-01-23 03:40:00+00:00,shortA_longB,0.20618559566441474,0.42004901560795777,0.5799509843920423,16.332163374931845,415.8690395740893,27.392739,5.2175217,27.0197017,5.07660761,1.550904762162712,-54.06020590437598,-5.406020590437597,1000.0,100
SDR,BCH_USDT_USDT-UNI_USDT_USDT,2025-01-22 21:25:00+00:00,2025-01-23 14:05:00+00:00,2025-01-23 05:45:00+00:00,2025-01-23 14:05:00+00:00,shortA_longB,10.0,0.5383717159641898,0.46162828403581024,1.0877474785385772,3.717534940140253,430.803076,12.605260399999999,432.223218,12.6042603,0.3097415847712295,-1.8582153711315899,-0.185821537113159,1000.0,100
SDR,AVAX_USDT_USDT-DOT_USDT_USDT,2025-01-23 02:00:00+00:00,2025-01-23 18:40:00+00:00,2025-01-23 16:15:00+00:00,2025-01-23 18:40:00+00:00,shortA_longB,6.117996263777002,0.48367125705666986,0.5163287429433302,14.428828843172278,13.244146971557514,35.4665463,6.3156315,34.643464,6.2086208,0.35324351309454377,10.105604679120724,1.0105604679120723,1000.0,29
SDR,AVAX_USDT_USDT-DOT_USDT_USDT,2025-01-23 04:45:00+00:00,2025-01-23 21:25:00+00:00,2025-01-23 20:25:00+00:00,2025-01-23 21:25:00+00:00,longA_shortB,6.252789825581437,0.47576100249778047,0.5242389975022196,14.831571684825242,13.145420668519165,34.8954892,6.2966296,36.1286125,6.4536453,0.3663020348740888,15.85881715724221,1.5858817157242209,1000.0,12
